# Simulated random data file for batch processing 
# timestamp: 2018-03-28 15:50:03
# Adrian Wiegman 
# ------------------------------- 
"varX","varY"
NA,NA
0.980441869935021,NA
NA,0.553470362676308
NA,0.553948001004755
0.334585086675361,0.64520917320624
0.0573671511374414,0.0582874461542815
NA,0.78322184458375
0.126766429515556,0.347304477123544
0.267154771601781,NA
0.148819436552003,NA
0.929891576059163,0.199597404105589
0.0140543347224593,0.832644140347838
NA,NA
0.812623091973364,0.737133410293609
NA,NA
0.264934207079932,0.518161814892665
0.192317185690627,0.813804557546973
0.215113315731287,NA
0.204706887248904,0.0936369362752885
NA,0.505706660216674
