# Simulated random data file for batch processing 
# timestamp: 2018-03-28 15:50:03
# Adrian Wiegman 
# ------------------------------- 
"varX","varY"
0.152025814400986,NA
NA,0.547703569289297
0.625111571978778,0.0214566935319453
0.283977363724262,0.49717751564458
0.254518966423348,0.314493571873754
0.279161175945774,0.807042710948735
0.168670838233083,0.172723732190207
0.659629070898518,0.166427391814068
0.123353912262246,0.868217982118949
0.521373533643782,0.124124767025933
0.996493698796257,0.605070887133479
0.35975455516018,0.225148448254913
0.72856325446628,0.795624212827533
0.451914848992601,0.270072636194527
0.842774163000286,0.707601234316826
0.605011587496847,0.569045284064487
0.361846464220434,NA
0.267786744982004,0.849530977662653
0.359274683520198,0.660680497065187
0.475624824408442,0.656068523414433
0.98925927747041,0.621630545472726
0.306952203856781,0.229905735934153
0.457986552733928,0.915121186291799
0.0228313538245857,NA
0.196090095909312,0.383606055518612
0.390061405254528,0.973582785809413
0.409198999172077,0.48482126602903
NA,0.24680918129161
0.267536239465699,0.829262527404353
0.890489336568862,0.167036906117573
0.729455993743613,0.363518166122958
0.497487355489284,NA
0.416032481240109,0.378931713523343
0.313633897341788,0.776764640817419
0.0618300130590796,0.767712969565764
0.7480104919523,0.777802643366158
NA,0.385540061630309
0.189752024132758,0.670115636195987
0.848134679254144,0.231020673410967
0.648929897230119,0.439378503710032
0.861829574918374,0.871543157147244
0.259812642121688,0.777021855814382
0.675230286084116,0.515885785454884
0.964063251623884,0.893666359828785
0.370844128308818,0.504808254772797
0.0532981567084789,0.619265330722556
0.675787514541298,0.486071013612673
0.510764614446089,0.464268008247018
0.630415875231847,0.520316969137639
0.270753279328346,0.912386178504676
0.162702679401264,0.671939365100116
0.937139580026269,0.677008625818416
NA,0.425879309186712
0.855569899082184,0.334884844254702
0.640581197105348,0.55872233165428
0.673938845284283,0.836985534289852
0.702911278698593,0.92217347281985
0.830510200699791,0.739864555420354
0.67883092770353,NA
0.673683046130463,0.435176718980074
0.99626523675397,0.608290416188538
0.582610484911129,0.759356003254652
0.413553802296519,0.671039279550314
0.112020722124726,0.41119306976907
NA,0.448975513456389
0.734273446025327,0.562540352810174
0.963574060006067,0.212553398450837
0.443459420697764,0.196210726164281
0.640980237629265,0.0927319794427603
0.283473474904895,0.879277538973838
